Cset,Phase,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
KQ4480,Primary (Baseline),ID,Easy,HiRepro,Match,KQ4480,KQ,3,3,3,A,,A:A,P,,P,20190320C_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ4493,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ4493,KQ,3,3,3,B,,A:B,P,,P,20190507E_2,,,"Same Model, Diff Sess, FMJ",040,040
KQ4525,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4525,KQ,1,1,1,A,,A:A,P,,P,20190415M_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ4530,Primary (Baseline),LeanID,Diff,HiRepro,Match,KQ4530,KQ,1,1,3,C,,A:C,B,,B,20190508E_1,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ4615,Primary (Baseline),ID,Norm,ModRepro,Match,KQ4615,KQ,3,3,3,C,,A:C,U,,U,20190507H_3,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
KQ4729,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ4729,KQ,3,3,3,A,,A:A,P,,P,20190415J_1,,,"Diff Make, JHP",038,038
KQ4858,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4858,KQ,3,3,3,B,,A:B,G,,G,20190621A_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4923,Primary (Baseline),ID,Easy,ModRepro,Match,KQ4923,KQ,1,1,1,A,,A:A,P,,P,20190507D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
KQ1014,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1014,KQ,3,3,3,B,,A:B,G,,G,20190415G_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ1082,Primary (Baseline),ID,Easy,HiRepro,Match,KQ1082,KQ,3,3,3,B,,A:B,G,,G,20190621K_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1084,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1084,KQ,3,3,3,C,,A:C,G,,G,20190501G_0,,,"Diff Model, FMJ",038,038
KQ1378,Primary (2nd assignments),Insuff,Norm,ModRepro,Inconclusive,KQ1378,KQ,3,5,5,A,,A:A,P,,P,20190621B_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1378,Primary (Baseline),LeanID,Diff,ModRepro,Match,KQ1378,KQ,3,5,5,A,,A:A,P,,P,20190621B_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1529,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ1529,KQ,1,1,1,C,,A:C,G,,G,20190507E_2,,,"Diff Make, FMJ",040,040
KQ1654,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ1654,KQ,3,3,3,B,,A:B,G,,G,20190618G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1900,Primary (2nd assignments),ID,VEasy,HiRepro,Match,KQ1900,KQ,3,5,5,A,,A:A,P,,P,20190404A_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ1900,Primary (Baseline),ID,VEasy,HiRepro,Match,KQ1900,KQ,3,5,5,A,,A:A,P,,P,20190404A_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ1910,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1910,KQ,2,2,2,A,,A:A,P,,P,20190415D_3,,,"Diff Model, FMJ",038,038
KQ1999,Primary (Baseline),Excl,VEasy,LowRepro,NonMatch,KQ1999,KQ,3,4,4,B,,A:B,G,,G,20190507H_1,,,"Diff Make, JHP",040,040
KQ2100,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2100,KQ,3,4,4,B,,A:B,G,,G,20190415I_3,,,"Same Model, Diff Sess, JHP",038,038
KQ2173,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ2173,KQ,3,3,3,B,,A:B,B,,B,20190507B_1,,,"Diff Make, JHP",040,040
KQ2366,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2366,KQ,3,3,3,A,,A:A,P,,P,20190508L_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ2516,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ2516,KQ,1,1,1,A,,A:A,P,,P,20190618U_1,,,"Diff Model, JHP",9ML,9ML
KQ2533,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2533,KQ,3,3,3,C,,A:C,G,,G,20190117C_0,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",9ML,9ML
KQ2582,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2582,KQ,3,3,3,A,,A:A,P,,P,20190416C_4,,,"Same Model, Diff Sess, JHP",038,038
KQ2610,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2610,KQ,1,1,1,A,,A:A,P,,P,20190618L_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ2623,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2623,KQ,3,3,3,A,,A:A,P,,P,20190412J_3,,,"Diff Make, FMJ",038,038
KQ2663,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2663,KQ,3,4,4,D,,A:D,B,,B,20190621A_1,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ2729,Primary (2nd assignments),Insuff,Diff,LowRepro,Inconclusive,KQ2729,KQ,3,5,5,B,,A:B,U,,U,20190507C_2,10.0,28.0,"Same Model, Same Sess, JHP",040,040
KQ2729,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2729,KQ,3,5,5,B,,A:B,U,,U,20190507C_2,10.0,28.0,"Same Model, Same Sess, JHP",040,040
KQ2811,Primary (Baseline),Insuff,Diff,HiRepro,Inconclusive,KQ2811,KQ,3,4,4,B,,A:B,G,,G,20190507P_4,30.0,48.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ2860,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ2860,KQ,1,1,1,B,,A:B,G,,G,20190412F_0,,,"Diff Model, JHP",038,038
KQ2879,Primary (Baseline),ID,Easy,HiRepro,Match,KQ2879,KQ,2,2,2,C,,A:C,U,,U,20190404D_1,0.0,8.0,"Same Model, Same SubSess, JHP, Poor quality",9ML,9ML
KQ3019,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ3019,KQ,3,3,3,B,,A:B,G,,G,20190501H_0,,,"Diff Model, JHP",038,038
KQ3024,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3024,KQ,3,3,3,A,,A:A,P,,P,20190508G_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3087,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3087,KQ,3,3,3,A,,A:A,P,,P,20190501F_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ3102,Supplemental,Insuff,Norm,ModRepro,Inconclusive,KQ3102,KQ,3,4,5,B,,A:B,G,,G,20190501K_2,,,"Same Model, Diff Sess, FMJ",040,040
KQ3128,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ3128,KQ,2,2,2,A,,A:A,P,,P,20190501I_4,,,"Same Model, Diff Sess, JHP",038,038
KQ3189,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3189,KQ,3,4,4,B,,A:B,G,,G,20190618C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ3637,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3637,KQ,2,2,2,B,,A:B,G,,G,20190508I_0,40.0,58.0,"Same Model, Diff Sess, JHP",9ML,9ML
KQ3670,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ3670,KQ,1,1,1,B,,A:B,G,,G,20190618A_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3730,Supplemental,LeanExcl,Norm,LowRepro,NonMatch,KQ3730,KQ,3,3,4,A,,A:A,P,,P,20190415F_1,,,"Diff Make, JHP",038,038
KQ3868,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ3868,KQ,3,3,3,B,,A:B,G,,G,20190501C_1,,,"Diff Make, JHP",038,038
KQ3970,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3970,KQ,3,3,3,A,,A:A,P,,P,20190618R_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ4065,Primary (2nd assignments),Insuff,Norm,LowRepro,Inconclusive,KQ4065,KQ,3,5,5,B,,A:B,G,,G,20190415L_2,,,"Same Model, Diff Sess, FMJ",038,038
KQ4065,Primary (Baseline),Insuff,Diff,HiRepro,Inconclusive,KQ4065,KQ,3,5,5,B,,A:B,G,,G,20190415L_2,,,"Same Model, Diff Sess, FMJ",038,038
KQ4108,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4108,KQ,3,3,3,B,,A:B,G,,G,20190508C_2,,,"Diff Make, JHP",9ML,9ML
KQ4162,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4162,KQ,3,3,3,A,,A:A,P,,P,20190508L_0,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ4186,Primary (Baseline),LeanExcl,Norm,LowRepro,NonMatch,KQ4186,KQ,3,4,4,A,,A:A,P,,P,20190416G_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ4223,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4223,KQ,3,3,3,C,,A:C,G,,G,20190412B_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ4269,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4269,KQ,3,3,3,B,,A:B,G,,G,20190412I_3,,,"Diff Model, JHP",038,038
KQ4298,Primary (Baseline),ID,Norm,ModRepro,Match,KQ4298,KQ,3,4,4,A,,A:A,P,,P,20190416G_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ4344,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4344,KQ,3,4,4,A,,A:A,P,,P,20190508M_3,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ4347,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4347,KQ,3,3,3,B,,A:B,G,,G,20190507E_0,,,"Same Model, Diff Sess, FMJ",040,040
KQ4715,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4715,KQ,2,2,2,B,,A:B,G,,G,20190507D_4,,,"Same Model, Diff Sess, FMJ",040,040
KQ4776,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ4776,KQ,3,4,4,A,,A:A,P,,P,20190415E_2,,,"Diff Make, JHP",038,038
KQ4840,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4840,KQ,3,3,3,A,,A:A,P,,P,20190508O_1,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ4906,Primary (2nd assignments),Insuff,Norm,ModRepro,Inconclusive,KQ4906,KQ,3,5,5,B,,A:B,G,,G,20190507R_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ4906,Primary (Baseline),ID,Diff,ModRepro,Match,KQ4906,KQ,3,5,5,B,,A:B,G,,G,20190507R_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1253,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1253,KQ,2,2,2,A,,A:A,P,,P,20190508L_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1355,Primary (Baseline),NoValue,na,na,Inconclusive,KQ1355,KQ,3,3,3,B,,A:B,G,,G,20190507M_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1360,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1360,KQ,3,3,3,B,,A:B,G,,G,20190508F_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1372,Primary (Baseline),NoValue,na,na,Inconclusive,KQ1372,KQ,2,2,2,A,,A:A,P,,P,20190415H_0,40.0,58.0,"Same Model, Diff Sess, FMJ",038,038
KQ1375,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1375,KQ,3,3,3,B,,A:B,G,,G,20190621B_0,,,"Diff Make, JHP",9ML,9ML
KQ1383,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1383,KQ,3,3,3,B,,A:B,G,,G,20190416F_2,,,"Same Model, Diff Sess, JHP",038,038
KQ1590,Primary (Baseline),NoValue,na,na,Inconclusive,KQ1590,KQ,2,2,3,B,,A:B,G,,G,20190618U_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1880,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1880,KQ,3,3,3,B,,A:B,G,,G,20190618L_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1904,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ1904,KQ,3,3,3,A,,A:A,P,,P,20190412L_2,,,"Diff Model, JHP",038,038
KQ1956,Primary (Baseline),NoValue,na,na,Inconclusive,KQ1956,KQ,3,3,3,B,,A:B,G,,G,20190412D_1,,,"Diff Model, FMJ",038,038
KQ2050,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2050,KQ,3,3,3,B,,A:B,G,,G,20190618A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2270,Primary (Baseline),LeanExcl,Norm,LowRepro,NonMatch,KQ2270,KQ,2,2,2,A,,A:A,P,,P,20190621G_1,,,"Diff Make, FMJ",9ML,9ML
KQ2488,Primary (Baseline),Excl,Easy,LowRepro,NonMatch,KQ2488,KQ,3,3,3,B,,A:B,G,,G,20190621V_3,,,"Diff Make, FMJ",9ML,9ML
KQ2498,Primary (Baseline),Excl,VEasy,LowRepro,NonMatch,KQ2498,KQ,3,3,3,A,,A:A,P,,P,20190507G_1,,,"Diff Make, FMJ",040,040
KQ2971,Primary (Baseline),NoValue,na,na,Inconclusive,KQ2971,KQ,3,3,3,A,,A:A,P,,P,20190508O_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ2981,Primary (Baseline),NoValue,na,na,Inconclusive,KQ2981,KQ,3,3,3,A,,A:A,G,,G,20190416H_2,,,"Diff Make, FMJ",038,038
KQ3111,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3111,KQ,2,2,2,B,,A:B,G,,G,20190618M_1,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3313,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ3313,KQ,3,3,3,A,,A:A,P,,P,20190621P_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3496,Primary (Baseline),NoValue,na,na,Inconclusive,KQ3496,KQ,2,2,2,A,,A:A,P,,P,20190508J_4,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ3563,Primary (Baseline),NoValue,na,na,Inconclusive,KQ3563,KQ,3,3,3,A,,A:A,P,,P,20190508N_3,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ4068,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4068,KQ,3,3,3,C,,A:C,U,,U,20190320A_0,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ4082,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4082,KQ,2,2,2,B,,A:B,G,,G,20190415E_2,,,"Diff Model, JHP",038,038
KQ4084,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4084,KQ,2,2,2,B,,A:B,G,,G,20190412T_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ4153,Primary (Baseline),NoValue,na,na,Inconclusive,KQ4153,KQ,3,3,3,B,,A:B,G,,G,20190415A_3,,,"Diff Model, FMJ",038,038
KQ4371,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ4371,KQ,3,3,3,A,,A:A,P,,P,20190508A_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ4407,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ4407,KQ,3,3,3,A,,A:A,P,,P,20190501Q_4,,,"Same Model, Diff Sess, FMJ",040,040
KQ4424,Primary (Baseline),LeanID,Norm,LowRepro,Match,KQ4424,KQ,2,2,2,B,,A:B,G,,G,20190507O_2,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ4434,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ4434,KQ,2,2,2,B,,A:B,G,,G,20190117B_0,,,"Diff Make, JHP",9ML,9ML
KQ4667,Primary (Baseline),NoValue,na,na,Inconclusive,KQ4667,KQ,3,3,3,B,,A:B,G,,G,20190621V_4,30.0,48.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ4856,Primary (Baseline),ID,Norm,ModRepro,Match,KQ4856,KQ,3,3,3,A,,A:A,P,,P,20190618M_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ1050,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ1050,KQ,3,3,3,B,,A:B,G,,G,20190621E_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1084,Primary (Baseline),Excl,Diff,LowRepro,NonMatch,KQ1084,KQ,3,3,3,C,,A:C,G,,G,20190501G_0,,,"Diff Model, FMJ",038,038
KQ1515,Primary (Baseline),Excl,Diff,LowRepro,NonMatch,KQ1515,KQ,3,3,3,A,,A:A,P,,P,20190508K_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1889,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ1889,KQ,3,3,3,A,,A:A,P,,P,20190320D_1,,,"Diff Make, FMJ",9ML,9ML
KQ2235,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2235,KQ,3,3,3,A,,A:A,P,,P,20190508N_3,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ2280,Primary (Baseline),Excl,VDiff,LowRepro,NonMatch,KQ2280,KQ,3,3,3,C,,A:C,B,,B,20190501R_0,,,"Same Model, Diff Sess, JHP, Poor quality",040,040
KQ2296,Primary (Baseline),Excl,VDiff,ModRepro,NonMatch,KQ2296,KQ,3,3,3,A,,A:A,P,,P,20190415H_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ2967,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ2967,KQ,3,3,3,B,,A:B,G,,G,20190618O_0,,,"Diff Make, JHP",9ML,9ML
KQ3024,Primary (Baseline),ID,Norm,HiRepro,Match,KQ3024,KQ,3,3,3,A,,A:A,P,,P,20190508G_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3379,Primary (Baseline),Excl,Norm,LowRepro,NonMatch,KQ3379,KQ,3,3,3,C,,A:C,G,,G,20190621A_1,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ3620,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ3620,KQ,3,3,3,B,,A:B,G,,G,20190621G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3776,Primary (Baseline),ID,Easy,ModRepro,Match,KQ3776,KQ,3,3,3,C,,A:C,G,,G,20190621S_4,20.0,38.0,"Same Model, Same Sess, FMJ, Poor quality",9ML,9ML
KQ3949,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ3949,KQ,3,3,3,B,,A:B,G,,G,20190618P_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3974,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3974,KQ,3,3,3,A,,A:A,P,,P,20190415D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ4108,Primary (Baseline),Excl,Diff,ModRepro,NonMatch,KQ4108,KQ,3,3,3,B,,A:B,G,,G,20190508C_2,,,"Diff Make, JHP",9ML,9ML
KQ4207,Primary (Baseline),Excl,Diff,LowRepro,NonMatch,KQ4207,KQ,3,3,3,A,,A:A,P,,P,20190415L_1,,,"Diff Make, FMJ",038,038
KQ4223,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4223,KQ,3,3,3,C,,A:C,G,,G,20190412B_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ4447,Primary (Baseline),ID,Easy,HiRepro,Match,KQ4447,KQ,3,3,3,B,,A:B,G,,G,20190618A_4,30.0,48.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ4523,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ4523,KQ,3,3,4,B,,A:B,G,,G,20190621B_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4840,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4840,KQ,3,3,3,A,,A:A,P,,P,20190508O_1,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1840,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ1840,KQ,1,1,1,A,,A:A,P,,P,20190621G_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2035,Primary (Baseline),ID,Norm,HiRepro,Match,KQ2035,KQ,1,1,1,A,,A:A,P,,P,20190618L_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ2097,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ2097,KQ,1,1,1,B,,A:B,G,,G,20190416B_2,,,"Diff Model, FMJ",038,038
KQ2246,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ2246,KQ,1,1,1,B,,A:B,G,,G,20190507L_3,,,"Same Model, Diff Sess, FMJ",040,040
KQ2333,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2333,KQ,1,1,1,A,,A:A,P,,P,20190415G_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ2547,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2547,KQ,1,1,1,A,,A:A,P,,P,20190508B_4,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ3561,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ3561,KQ,1,1,1,B,,A:B,G,,G,20190621S_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4247,Primary (Baseline),Excl,Easy,ModRepro,NonMatch,KQ4247,KQ,1,1,1,C,,A:C,U,,U,20190507I_0,,,"Diff Make, JHP",040,040
KQ4282,Primary (Baseline),ID,Diff,ModRepro,Match,KQ4282,KQ,1,1,1,C,,A:C,B,,B,20190507C_2,0.0,18.0,"Same Model, Same Sess, JHP",040,040
KQ4465,Primary (Baseline),ID,Diff,ModRepro,Match,KQ4465,KQ,1,1,1,B,,A:B,G,,G,20190501I_4,30.0,48.0,"Same Model, Same Sess, JHP",038,038
KQ1554,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1554,KQ,3,3,3,C,,A:C,G,,G,20190117B_3,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1578,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ1578,KQ,3,3,3,A,,A:A,P,,P,20190508R_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1875,Primary (Baseline),ID,Norm,ModRepro,Match,KQ1875,KQ,3,3,3,A,,A:A,P,,P,20190621S_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ2235,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ2235,KQ,3,3,3,A,,A:A,P,,P,20190508N_3,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ3021,Primary (Baseline),Excl,Easy,ModRepro,NonMatch,KQ3021,KQ,3,3,3,B,,A:B,G,,G,20190508H_1,,,"Diff Model, JHP",9ML,9ML
KQ3167,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ3167,KQ,3,3,3,A,,A:A,P,,P,20190412U_1,,,"Diff Make, JHP",038,038
KQ3379,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ3379,KQ,3,3,3,C,,A:C,G,,G,20190621A_1,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ3620,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3620,KQ,3,3,3,B,,A:B,G,,G,20190621G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3776,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3776,KQ,3,3,3,C,,A:C,G,,G,20190621S_4,20.0,38.0,"Same Model, Same Sess, FMJ, Poor quality",9ML,9ML
KQ3974,Primary (Baseline),ID,Easy,ModRepro,Match,KQ3974,KQ,3,3,3,A,,A:A,P,,P,20190415D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ4240,Primary (Baseline),Insuff,VDiff,ModRepro,Inconclusive,KQ4240,KQ,3,3,3,B,,A:B,G,,G,20190415C_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4519,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ4519,KQ,3,3,4,A,,A:A,P,,P,20190618U_4,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4552,Primary (Baseline),Insuff,VDiff,ModRepro,Inconclusive,KQ4552,KQ,3,3,4,B,,A:B,G,,G,20190412F_4,,,"Same Model, Diff Sess, JHP",038,038
KQ4638,Primary (Baseline),Excl,Easy,ModRepro,NonMatch,KQ4638,KQ,3,3,3,B,,A:B,G,,G,20190507R_2,,,"Diff Make, JHP",9ML,9ML
KQ4894,Primary (Baseline),LeanID,VDiff,LowRepro,Match,KQ4894,KQ,3,3,4,C,,A:C,B,,B,20190501P_0,,,"Same Model, Diff Sess, FMJ, Poor quality",040,040
KQ1009,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ1009,KQ,1,1,1,A,,A:A,P,,P,20190507J_4,,,"Same Model, Diff Sess, FMJ",040,040
KQ1205,Primary (Baseline),ID,Diff,ModRepro,Match,KQ1205,KQ,2,2,2,A,,A:A,P,,P,20190415L_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ1307,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1307,KQ,1,1,1,D,,A:D,B,,B,20190508D_2,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",9ML,9ML
KQ1415,Primary (Baseline),LeanID,Diff,LowRepro,Match,KQ1415,KQ,2,2,2,A,,A:A,P,,P,20190621E_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1443,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1443,KQ,3,3,3,A,,A:A,P,,P,20190415K_1,,,"Diff Model, JHP",038,038
KQ1611,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1611,KQ,2,2,2,B,,A:B,G,,G,20190508D_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1664,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1664,KQ,3,3,3,A,,A:A,P,,P,20190415B_3,,,"Diff Make, JHP",038,038
